PR,URL,Title,Content type,Is rendered page,HTTP status code,Organic traffic,Depth,No. of inlinks dofollow,No. of inlinks nofollow,No. of href inlinks
20,https://utahwatergardens.com/pond-maintenance/spanish-fork,"Pond Services in Spanish Fork, Utah | Utah Water Gardens | Utah Water Gardens",text/html; charset=utf-8,true,200,0,2,1,0,1
20,https://utahwatergardens.com/pond-maintenance/holladay,"Pond Services in Holladay, Utah | Utah Water Gardens | Utah Water Gardens",text/html; charset=utf-8,true,200,0,2,1,0,1
20,https://utahwatergardens.com/pond-cleaning/syracuse,"Pond Services in Syracuse, Utah | Utah Water Gardens | Utah Water Gardens",text/html; charset=utf-8,true,200,0,2,1,0,1
20,https://utahwatergardens.com/water-treatments/cottonwood-heights,"Pond Services in Cottonwood Heights, Utah | Utah Water Gardens | Utah Water Gardens",text/html; charset=utf-8,true,200,0,2,1,0,1
20,https://utahwatergardens.com/pond-maintenance/cottonwood-heights,"Pond Services in Cottonwood Heights, Utah | Utah Water Gardens | Utah Water Gardens",text/html; charset=utf-8,true,200,0,2,1,0,1
20,https://utahwatergardens.com/water-treatments/orem,"Pond Services in Orem, Utah | Utah Water Gardens | Utah Water Gardens",text/html; charset=utf-8,true,200,0,2,1,0,1
20,https://utahwatergardens.com/pond-maintenance/centerville,"Pond Services in Centerville, Utah | Utah Water Gardens | Utah Water Gardens",text/html; charset=utf-8,true,200,0,2,1,0,1
20,https://utahwatergardens.com/water-treatments/centerville,"Pond Services in Centerville, Utah | Utah Water Gardens | Utah Water Gardens",text/html; charset=utf-8,true,200,0,2,1,0,1
20,https://utahwatergardens.com/pond-cleaning/lehi,"Pond Services in Lehi, Utah | Utah Water Gardens | Utah Water Gardens",text/html; charset=utf-8,true,200,0,2,1,0,1
20,https://utahwatergardens.com/pond-services/centerville,"Pond Services in Centerville, Utah | Utah Water Gardens | Utah Water Gardens",text/html; charset=utf-8,true,200,0,1,1,0,1
20,https://utahwatergardens.com/pond-services/draper,"Pond Services in Draper, Utah | Utah Water Gardens | Utah Water Gardens",text/html; charset=utf-8,true,200,0,1,1,0,1
20,https://utahwatergardens.com/pond-services/clinton,"Pond Services in Clinton, Utah | Utah Water Gardens | Utah Water Gardens",text/html; charset=utf-8,true,200,0,1,1,0,1
20,https://utahwatergardens.com/pond-cleaning/pleasant-grove,"Pond Services in Pleasant Grove, Utah | Utah Water Gardens | Utah Water Gardens",text/html; charset=utf-8,true,200,0,2,1,0,1
20,https://utahwatergardens.com/pond-cleaning/alpine,"Pond Services in Alpine, Utah | Utah Water Gardens | Utah Water Gardens",text/html; charset=utf-8,true,200,0,2,1,0,1
20,https://utahwatergardens.com/pond-maintenance/salt-lake-city,"Pond Services in Salt Lake City, Utah | Utah Water Gardens | Utah Water Gardens",text/html; charset=utf-8,true,200,0,2,1,0,1
20,https://utahwatergardens.com/pond-maintenance/kaysville,"Pond Services in Kaysville, Utah | Utah Water Gardens | Utah Water Gardens",text/html; charset=utf-8,true,200,0,2,1,0,1
20,https://utahwatergardens.com/pond-services/cottonwood-heights,"Pond Services in Cottonwood Heights, Utah | Utah Water Gardens | Utah Water Gardens",text/html; charset=utf-8,true,200,0,1,1,0,1
20,https://utahwatergardens.com/pond-cleaning/cottonwood-heights,"Pond Services in Cottonwood Heights, Utah | Utah Water Gardens | Utah Water Gardens",text/html; charset=utf-8,true,200,0,2,1,0,1
20,https://utahwatergardens.com/pond-cleaning/riverdale,"Pond Services in Riverdale, Utah | Utah Water Gardens | Utah Water Gardens",text/html; charset=utf-8,true,200,0,2,1,0,1
20,https://utahwatergardens.com/blog/lake-dredging-large-water-bodies-guide,,text/html; charset=utf-8,true,200,0,1,1,0,1
20,https://utahwatergardens.com/water-treatments/alpine,"Pond Services in Alpine, Utah | Utah Water Gardens | Utah Water Gardens",text/html; charset=utf-8,true,200,0,2,1,0,1
20,https://utahwatergardens.com/water-treatments/lehi,"Pond Services in Lehi, Utah | Utah Water Gardens | Utah Water Gardens",text/html; charset=utf-8,true,200,0,2,1,0,1
20,https://utahwatergardens.com/pond-services/west-valley-city,"Pond Services in West Valley City, Utah | Utah Water Gardens | Utah Water Gardens",text/html; charset=utf-8,true,200,0,1,1,0,1
20,https://utahwatergardens.com/pond-services/american-fork,"Pond Services in American Fork, Utah | Utah Water Gardens | Utah Water Gardens",text/html; charset=utf-8,true,200,0,1,1,0,1
20,https://utahwatergardens.com/pond-services/ogden,"Pond Services in Ogden, Utah | Utah Water Gardens | Utah Water Gardens",text/html; charset=utf-8,true,200,0,1,1,0,1
20,https://utahwatergardens.com/pond-cleaning/washington-terrace,"Pond Services in Washington Terrace, Utah | Utah Water Gardens | Utah Water Gardens",text/html; charset=utf-8,true,200,0,2,1,0,1
