PR,URL,Title,Content type,Is rendered page,HTTP status code,Size (bytes),Loading time (ms),No. of IMG inlinks
0,https://utahwatergardens.com/images/b912a3f21b5bad3ad31288399483df63-enhance-4x.jpeg,,image/jpeg,false,200,1187638,99,1
0,https://utahwatergardens.com/images/b4dda81b66ed3f80f0f0a641b09fcf90-enhance-4x.jpeg,,image/jpeg,false,200,1181784,106,1
0,https://utahwatergardens.com/images/df28e743d124a752ed0a69ca677ee6d9-enhance-4x.jpeg,,image/jpeg,false,200,1150541,111,3
0,https://utahwatergardens.com/images/e040a38e5f0bcd988e8abc11eaddca1d-enhance-4x.jpeg,,image/jpeg,false,200,1149219,89,1
0,https://utahwatergardens.com/images/c9fb8447cf9fddf89cafb96a3606b316-sharpen.jpeg,,image/jpeg,false,200,1136706,97,1
0,https://utahwatergardens.com/images/e6c96ccb6e5cd3efd8a92681c4e717be-enhance-4x.jpeg,,image/jpeg,false,200,1128760,105,3
0,https://utahwatergardens.com/images/3e8c02a910ecc02bd046359713860a2c%20(1)-denoise-enhance-4x.jpeg,,image/jpeg,false,200,1117451,73,1
1,https://utahwatergardens.com/images/3e8c02a910ecc02bd046359713860a2c-denoise-enhance-4x.jpeg,,image/jpeg,false,200,1117430,14,189
1,https://utahwatergardens.com/images/1c7c15865a8fd7d198a5c69c3087e91c-enhance-4x.jpeg,,image/jpeg,false,200,1037199,13,191
0,https://utahwatergardens.com/images/c2e5455e8bace88209b0fe4abf1e033f-denoise-enhance-4x.jpeg,,image/jpeg,false,200,1018832,4689,1
1,https://utahwatergardens.com/images/0791fabd2c70c52627dbb8ec300e2377-enhance-4x.jpeg,,image/jpeg,false,200,1017127,104,187
