PR,URL,Title,Content type,Is rendered page,HTTP status code,SERP title,No. of content words,Page text,Extracted text (raw <body>) (length),Text hash,Organic traffic,Is indexable page
20,https://utahwatergardens.com/service-areas/riverdale,"Pond Services in Riverdale, Utah | Utah Water Gardens | Utah Water Gardens",text/html; charset=utf-8,true,200,,1592,<truncated>,11390,16122097978249931501,0,true
20,https://utahwatergardens.com/service-areas/pleasant-grove,"Pond Services in Pleasant Grove, Utah | Utah Water Gardens | Utah Water Gardens",text/html; charset=utf-8,true,200,,1650,<truncated>,11680,16302495599658598646,0,true
20,https://utahwatergardens.com/service-areas/coalville,"Pond Services in Coalville, Utah | Utah Water Gardens | Utah Water Gardens",text/html; charset=utf-8,true,200,,1591,<truncated>,11358,15282668531363579107,0,true
20,https://utahwatergardens.com/service-areas/bountiful,"Pond Services in Bountiful, Utah | Utah Water Gardens | Utah Water Gardens",text/html; charset=utf-8,true,200,,1592,<truncated>,11390,791625103957808574,0,true
20,https://utahwatergardens.com/service-areas/vernon,"Pond Services in Vernon, Utah | Utah Water Gardens | Utah Water Gardens",text/html; charset=utf-8,true,200,,1588,<truncated>,11244,14089682039177351615,0,true
20,https://utahwatergardens.com/service-areas/ogden,"Pond Services in Ogden, Utah | Utah Water Gardens | Utah Water Gardens",text/html; charset=utf-8,true,200,,1609,<truncated>,11336,17181060491440288246,0,true
20,https://utahwatergardens.com/service-areas/la-verkin,"Pond Services in La Verkin, Utah | Utah Water Gardens | Utah Water Gardens",text/html; charset=utf-8,true,200,,1653,<truncated>,11405,17683239032694776808,0,true
20,https://utahwatergardens.com/plants-fish/all,"Pond Services in All, Utah | Utah Water Gardens | Utah Water Gardens",text/html; charset=utf-8,true,200,,1592,<truncated>,11014,14739703632547313556,0,true
20,https://utahwatergardens.com/service-areas/hurricane,"Pond Services in Hurricane, Utah | Utah Water Gardens | Utah Water Gardens",text/html; charset=utf-8,true,200,,1612,<truncated>,11527,16971308919466293203,0,true
20,https://utahwatergardens.com/blog/pond-filtration-systems-complete-guide,,text/html; charset=utf-8,true,200,,276,<truncated>,1843,4388521498173125409,0,true
20,https://utahwatergardens.com/service-areas/midvale,"Pond Services in Midvale, Utah | Utah Water Gardens | Utah Water Gardens",text/html; charset=utf-8,true,200,,1612,<truncated>,11411,17215711818201338430,0,true
20,https://utahwatergardens.com/services,,text/html; charset=utf-8,true,200,,613,<truncated>,4385,17028245184806847526,0,true
20,https://utahwatergardens.com/service-areas/provo,"Pond Services in Provo, Utah | Utah Water Gardens | Utah Water Gardens",text/html; charset=utf-8,true,200,,1598,<truncated>,11147,1447667791664643631,0,true
20,https://utahwatergardens.com/service-areas/herriman,"Pond Services in Herriman, Utah | Utah Water Gardens | Utah Water Gardens",text/html; charset=utf-8,true,200,,1590,<truncated>,11343,16832419293695776331,0,true
20,https://utahwatergardens.com/service-areas/north-salt-lake,"Pond Services in North Salt Lake, Utah | Utah Water Gardens | Utah Water Gardens",text/html; charset=utf-8,true,200,,1708,<truncated>,11738,14838088865324095420,0,true
20,https://utahwatergardens.com/service-areas/santa-clara,"Pond Services in Santa Clara, Utah | Utah Water Gardens | Utah Water Gardens",text/html; charset=utf-8,true,200,,1646,<truncated>,11534,3401767210320362149,0,true
20,https://utahwatergardens.com/service-areas/cedar-valley,"Pond Services in Cedar Valley, Utah | Utah Water Gardens | Utah Water Gardens",text/html; charset=utf-8,true,200,,1650,<truncated>,11564,1510737509220192552,0,true
20,https://utahwatergardens.com/service-areas/genola,"Pond Services in Genola, Utah | Utah Water Gardens | Utah Water Gardens",text/html; charset=utf-8,true,200,,1606,<truncated>,11235,4358581026719174290,0,true
20,https://utahwatergardens.com/service-areas/springdale,"Pond Services in Springdale, Utah | Utah Water Gardens | Utah Water Gardens",text/html; charset=utf-8,true,200,,1595,<truncated>,11463,1296601590999066265,0,true
20,https://utahwatergardens.com/service-areas/north-ogden,"Pond Services in North Ogden, Utah | Utah Water Gardens | Utah Water Gardens",text/html; charset=utf-8,true,200,,1650,<truncated>,11506,17691973988714504962,0,true
20,https://utahwatergardens.com/service-areas/roy,"Pond Services in Roy, Utah | Utah Water Gardens | Utah Water Gardens",text/html; charset=utf-8,true,200,,1606,<truncated>,11061,15709597961919449353,0,true
20,https://utahwatergardens.com/service-areas/fillmore,"Pond Services in Fillmore, Utah | Utah Water Gardens | Utah Water Gardens",text/html; charset=utf-8,true,200,,1592,<truncated>,11332,14918663407984384416,0,true
20,https://utahwatergardens.com/service-areas/beaver,"Pond Services in Beaver, Utah | Utah Water Gardens | Utah Water Gardens",text/html; charset=utf-8,true,200,,1594,<truncated>,11229,212506860058248196,0,true
