Link type,Is nofollow,Source URL,Source HTTP status code,Target URL,Target HTTP status code,Anchor,No. of dofollow inlinks to target,No. of nofollow inlinks to target,Is source canonical,Is source noindex,Is target canonical,Is target noindex,Is link internal
Href link,false,https://utahwatergardens.com/pond-supplies/water-treatments,200,https://utahwatergardens.com/water-treatments/roy,200,Roy,1,0,true,false,true,false,true
Href link,false,https://utahwatergardens.com/pond-services/cleaning,200,https://utahwatergardens.com/pond-cleaning/syracuse,200,Syracuse,1,0,true,false,true,false,true
Href link,false,https://utahwatergardens.com/pond-supplies/water-treatments,200,https://utahwatergardens.com/water-treatments/west-jordan,200,West Jordan,1,0,true,false,true,false,true
Href link,false,https://utahwatergardens.com/pond-gallery,200,https://utahwatergardens.com/pond-services/orem,200,Orem,1,0,true,false,true,false,true
Href link,false,https://utahwatergardens.com/pond-supplies/water-treatments,200,https://utahwatergardens.com/water-treatments/riverdale,200,Riverdale,1,0,true,false,true,false,true
Href link,false,https://utahwatergardens.com/pond-supplies/water-treatments,200,https://utahwatergardens.com/water-treatments/centerville,200,Centerville,1,0,true,false,true,false,true
Href link,false,https://utahwatergardens.com/blog,200,https://utahwatergardens.com/blog/pond-dredging-when-why-how-guide,200,"Pond Dredging: When, Why, and How - Complete Guide to Pond Restoration",1,0,true,false,true,false,true
Href link,false,https://utahwatergardens.com/pond-services/maintenance,200,https://utahwatergardens.com/pond-maintenance/orem,200,Orem,1,0,true,false,true,false,true
Href link,false,https://utahwatergardens.com/pond-services/cleaning,200,https://utahwatergardens.com/pond-cleaning/orem,200,Orem,1,0,true,false,true,false,true
Href link,false,https://utahwatergardens.com/pond-supplies/water-treatments,200,https://utahwatergardens.com/water-treatments/draper,200,Draper,1,0,true,false,true,false,true
Href link,false,https://utahwatergardens.com/pond-gallery,200,https://utahwatergardens.com/pond-services/west-jordan,200,West Jordan,1,0,true,false,true,false,true
Href link,false,https://utahwatergardens.com/pond-gallery,200,https://utahwatergardens.com/pond-services/centerville,200,Centerville,1,0,true,false,true,false,true
Href link,false,https://utahwatergardens.com/pond-services/maintenance,200,https://utahwatergardens.com/pond-maintenance/murray,200,Murray,1,0,true,false,true,false,true
Href link,false,https://utahwatergardens.com/pond-gallery,200,https://utahwatergardens.com/pond-services/washington-terrace,200,Washington Terrace,1,0,true,false,true,false,true
